"date","weighted","close","high","low","open","volume"
"2021-05-02 10:05:00","2926.31","2930.68","2937.61","2913","2920.83","36716742.31"
"2021-05-02 11:05:00","2934.69","2926.77","2942.9","2923.29","2930.68","43584270.55"
"2021-05-02 12:05:00","2931.22","2935.9","2937.78","2924.47","2926.77","23136383.72"
"2021-05-02 13:05:00","2953.07","2967.65","2968.33","2934.9","2935.9","56737632.59"
"2021-05-02 14:05:00","2970.74","2966.06","2977.93","2961.35","2967.65","52207249.61"
"2021-05-02 15:05:00","2968.06","2971.13","2974.76","2958.37","2966.06","40587757.24"
"2021-05-02 16:05:00","2976.98","2975.54","2985.05","2967.5","2971.13","47386310.39"
"2021-05-02 17:05:00","2954.41","2949.13","2981.75","2932.92","2975.54","79694367.69"
"2021-05-02 18:05:00","2950.27","2951.98","2955.96","2938.17","2949.13","41298863.35"
"2021-05-02 19:05:00","2984.86","2994.44","2994.83","2951.85","2951.98","86542569.91"
"2021-05-02 20:05:00","3007.69","3021.39","3026.58","2990.85","2994.44","159061164.88"
"2021-05-02 21:05:00","3024.59","3032.75","3036.68","3011.53","3021.39","89780493.31"
"2021-05-02 22:05:00","3047.68","3054.28","3059.15","3023.42","3032.75","127535155.62"
"2021-05-02 23:05:00","3052.15","3053.27","3060.39","3038.74","3054.28","72453624.97"
"2021-05-02 24:05:00","3087.12","3102.82","3108.41","3050.73","3053.27","119100617.19"
"2021-05-03 01:05:00","3093.15","3088.91","3104.25","3083.44","3102.82","79955721.32"
"2021-05-03 02:05:00","3125.51","3147.17","3147.73","3083.63","3088.91","101663782.97"
"2021-05-03 03:05:00","3175.78","3185.12","3201.56","3135.93","3147.17","144166376.85"
"2021-05-03 04:05:00","3169.25","3165.75","3189.59","3145.96","3185.12","139345273.82"
"2021-05-03 05:05:00","3149.84","3150.22","3169.14","3128.96","3165.75","111289975.15"
"2021-05-03 06:05:00","3167.33","3153.3","3179.57","3150.17","3150.22","79944730.4"
"2021-05-03 07:05:00","3142.62","3145.7","3163.45","3114.51","3153.3","112155332.98"
"2021-05-03 08:05:00","3120.22","3109.3","3149.91","3087.74","3145.7","140194515.43"
"2021-05-03 09:05:00","3147.44","3164.97","3179.96","3107.11","3109.3","131734934.38"
"2021-05-03 10:05:00","3170.68","3166.03","3194.66","3152.8","3164.97","141476756.92"
"2021-05-03 11:05:00","3218.02","3257.72","3269.13","3153.02","3166.03","294781804.11"
"2021-05-03 12:05:00","3277.72","3286.35","3300.87","3249.64","3257.72","262063186.48"
"2021-05-03 13:05:00","3312.2","3335.06","3340.52","3276.18","3286.35","217359288.11"
"2021-05-03 14:05:00","3296.06","3303.22","3335.06","3262.75","3335.06","207084027.5"
"2021-05-03 15:05:00","3284.17","3287.38","3307.4","3253.49","3303.22","150279331.83"
"2021-05-03 16:05:00","3297.05","3333.08","3333.37","3272.19","3287.38","125311673.26"
"2021-05-03 17:05:00","3371.15","3371.25","3398.44","3333.04","3333.08","266839296.44"
